Timestamp,Time_Relative_s,RSS_KB,VSZ_KB
1765141091.906860738,0.019,1596,7372
1765141092.930674868,1.042,1596,7372
1765141093.953337866,2.065,1596,7372
1765141094.975515244,3.087,1596,7372
1765141095.997825765,4.109,1596,7372
1765141097.021749043,5.133,1596,7372
1765141098.044874836,6.157,1596,7372
1765141099.067187650,7.179,1596,7372
1765141100.089980895,8.202,1596,7372
1765141101.124037914,9.236,1596,7372
1765141102.169123588,10.281,1596,7372
1765141103.191416929,11.303,1596,7372
1765141104.213638017,12.325,1596,7372
1765141105.236818839,13.348,1596,7372
1765141106.259149131,14.371,1596,7372
1765141107.281704788,15.393,1596,7372
1765141108.304282374,16.416,1596,7372
1765141109.330691477,17.442,1596,7372
1765141110.354973674,18.467,1596,7372
1765141111.377096535,19.489,1596,7372
1765141112.399234758,20.511,1596,7372
1765141113.425467022,21.537,1596,7372
1765141114.449176895,22.561,1596,7372
1765141115.472788254,23.584,1596,7372
1765141116.499359212,24.611,1596,7372
1765141117.522329246,25.634,1596,7372
1765141118.548248454,26.660,1596,7372
1765141119.575345057,27.687,1596,7372
1765141120.601330749,28.713,1596,7372
1765141121.624859082,29.737,1596,7372
1765141122.649590489,30.761,1596,7372
1765141123.673800284,31.785,1596,7372
1765141124.697407352,32.809,1596,7372
1765141125.725602893,33.837,1596,7372
1765141126.751114111,34.863,1596,7372
1765141127.773217838,35.885,1596,7372
1765141128.799311549,36.911,1596,7372
1765141129.821996742,37.934,1596,7372
1765141130.845959726,38.958,1596,7372
1765141131.868239199,39.980,1596,7372
1765141132.890606377,41.002,1596,7372
1765141133.914582963,42.026,1596,7372
1765141134.937807693,43.049,1596,7372
1765141135.961171608,44.073,1596,7372
1765141136.984101295,45.096,1596,7372
1765141138.006886040,46.119,1596,7372
1765141139.029193233,47.141,1596,7372
1765141140.051343498,48.163,1596,7372
1765141141.073548694,49.185,1596,7372
1765141142.096744429,50.208,1596,7372
1765141143.119582465,51.231,1596,7372
1765141144.141904448,52.254,1596,7372
1765141145.164069547,53.276,1596,7372
1765141146.187391214,54.299,1596,7372
1765141147.209799718,55.321,1596,7372
1765141148.232543886,56.344,1596,7372
1765141149.254693623,57.366,1596,7372
1765141150.276348417,58.388,1596,7372
1765141151.297773828,59.409,1596,7372
1765141152.320187883,60.432,1596,7372
1765141153.342414457,61.454,1596,7372
1765141154.364110297,62.476,1596,7372
1765141155.386903183,63.499,1596,7372
1765141156.409160023,64.521,1596,7372
1765141157.431491467,65.543,1596,7372
1765141158.454114524,66.566,1596,7372
1765141159.478413825,67.590,1596,7372
1765141160.501642051,68.613,1596,7372
1765141161.524339627,69.636,1596,7372
1765141162.547043480,70.659,1596,7372
1765141163.568983478,71.681,1596,7372
1765141164.591419002,72.703,1596,7372
1765141165.615608932,73.727,1596,7372
1765141166.641562726,74.753,1596,7372
1765141167.664654185,75.776,1596,7372
1765141168.687397416,76.799,1596,7372
1765141169.714720084,77.826,1596,7372
1765141170.738903280,78.851,1596,7372
1765141171.761181028,79.873,1596,7372
1765141172.783534586,80.895,1596,7372
1765141173.805962117,81.918,1596,7372
1765141174.831728384,82.943,1596,7372
1765141175.857137916,83.969,1596,7372
1765141176.879674199,84.991,1596,7372
1765141177.902899887,86.015,1596,7372
1765141178.925394157,87.037,1596,7372
1765141179.948727523,88.060,1596,7372
1765141180.972078699,89.084,1596,7372
1765141181.995915943,90.108,1596,7372
1765141183.022465548,91.134,1596,7372
1765141184.045850351,92.158,1596,7372
1765141185.068809073,93.180,1596,7372
1765141186.091854895,94.204,1596,7372
1765141187.115731325,95.227,1596,7372
1765141188.138785854,96.250,1596,7372
1765141189.165838561,97.277,1596,7372
1765141190.188765417,98.300,1596,7372
1765141191.214204994,99.326,1596,7372
1765141192.236968448,100.349,1596,7372
1765141193.259619113,101.371,1596,7372
1765141194.282424864,102.394,1596,7372
1765141195.304831853,103.416,1596,7372
1765141196.327557684,104.439,1596,7372
1765141197.349569607,105.461,1596,7372
1765141198.372767124,106.484,1596,7372
1765141199.396276493,107.508,1596,7372
1765141200.420056164,108.532,1596,7372
1765141201.446495224,109.558,1596,7372
1765141202.470341104,110.582,1596,7372
1765141203.496946475,111.609,1596,7372
1765141204.521042508,112.633,1596,7372
1765141205.543094482,113.655,1596,7372
1765141206.566508024,114.678,1596,7372
1765141207.591037893,115.703,1596,7372
1765141208.614895967,116.727,1596,7372
1765141209.638235904,117.750,1596,7372
1765141210.663086019,118.775,1596,7372
1765141211.687140300,119.799,1596,7372
1765141212.709998267,120.822,1596,7372
1765141213.735262615,121.847,1596,7372
1765141214.761575090,122.873,1596,7372
1765141215.786162554,123.898,1596,7372
1765141216.808798589,124.920,1596,7372
1765141217.833805086,125.945,1596,7372
1765141218.858336269,126.970,1596,7372
1765141219.880814992,127.992,1596,7372
1765141220.932627219,129.044,1596,7372
1765141222.031555200,130.143,1596,7372
1765141223.106791344,131.218,1596,7372
1765141224.195719097,132.307,1596,7372
1765141225.270859485,133.383,1596,7372
1765141226.369773012,134.481,1596,7372
1765141227.442132499,135.554,1596,7372
1765141228.545411169,136.657,1596,7372
1765141229.610785161,137.722,1596,7372
1765141230.711916693,138.824,1596,7372
1765141231.739070344,139.851,1596,7372
1765141232.768514391,140.880,1596,7372
1765141233.802141597,141.914,1596,7372
1765141234.839629739,142.951,1596,7372
1765141235.874998996,143.987,1596,7372
1765141236.903339954,145.015,1596,7372
1765141237.941846740,146.053,1596,7372
1765141238.976908582,147.089,1596,7372
1765141240.015098416,148.127,1596,7372
