Timestamp,Time_Relative_s,RSS_KB,VSZ_KB
1765142299.771720464,0.019,268,7372
1765142300.794992468,1.042,268,7372
1765142301.818008524,2.065,268,7372
1765142302.840898787,3.088,268,7372
1765142303.863812844,4.111,268,7372
1765142304.886568322,5.134,268,7372
1765142305.910651222,6.158,268,7372
1765142306.933395050,7.180,268,7372
1765142307.956456970,8.203,268,7372
1765142308.980684328,9.228,268,7372
1765142310.004503609,10.252,268,7372
1765142311.028267044,11.275,268,7372
1765142312.054973355,12.302,268,7372
1765142313.077731386,13.325,268,7372
1765142314.100530009,14.348,268,7372
1765142315.126526958,15.374,268,7372
1765142316.149554530,16.397,268,7372
1765142317.175820571,17.423,268,7372
1765142318.197021139,18.444,268,7372
1765142319.219955693,19.467,268,7372
1765142320.242783373,20.490,268,7372
1765142321.268229985,21.515,268,7372
1765142322.292085953,22.539,268,7372
1765142323.315031770,23.562,268,7372
1765142324.339232983,24.586,268,7372
1765142325.362349437,25.609,268,7372
1765142326.385374244,26.632,268,7372
1765142327.408057206,27.655,268,7372
1765142328.431687904,28.679,268,7372
1765142329.456389611,29.703,268,7372
1765142330.479759261,30.727,268,7372
1765142331.502308415,31.749,268,7372
1765142332.525841853,32.773,268,7372
1765142333.549205343,33.796,268,7372
1765142334.576008669,34.823,268,7372
1765142335.601737409,35.849,268,7372
1765142336.624830650,36.872,268,7372
1765142337.646815041,37.894,268,7372
1765142338.669162854,38.916,268,7372
1765142339.692778893,39.940,268,7372
1765142340.716163462,40.963,268,7372
1765142341.738771145,41.986,268,7372
1765142342.761199093,43.008,268,7372
1765142343.784756974,44.032,268,7372
1765142344.808109321,45.055,268,7372
1765142345.830108884,46.077,268,7372
1765142346.852049520,47.099,268,7372
1765142347.874803515,48.122,268,7372
1765142348.897106228,49.144,268,7372
1765142349.919243428,50.166,268,7372
1765142350.942108464,51.189,268,7372
1765142351.964870930,52.212,268,7372
1765142352.988137187,53.235,268,7372
1765142354.011059305,54.258,268,7372
1765142355.033440109,55.280,268,7372
1765142356.056085808,56.303,268,7372
1765142357.078754587,57.326,268,7372
1765142358.100959747,58.348,268,7372
1765142359.124110353,59.371,268,7372
1765142360.146989580,60.394,268,7372
1765142361.169398023,61.416,268,7372
1765142362.191746982,62.439,268,7372
1765142363.214125665,63.461,268,7372
1765142364.236204554,64.483,268,7372
1765142365.259424237,65.506,268,7372
